recordID,subjectLocation
1,Kansas
2,Cambridge (Mass.)
3,Poughkeepsie (N.Y.)
4,New England
5,United States
6,China
6,Tibet Autonomous Region (China)
7,United States
7,United States
8,Baltimore (Md.)
9,United States
10,England
11,France
12,Transvaal (South Africa)
13,United States
14,United States
15,Philippines
16,United States
17,Philippines
18,Naples (Kingdom)
19,South Africa
19,Transvaal (South Africa)
19,Great Britain
19,Europe
20,Europe
21,Europe
21,Great Britain
22,United States
23,Pennsylvania
24,Paris (France)
24,Paris (France)
25,United States
25,United States
26,Paris (France)
27,West Virginia
28,Germany
29,Tuscany (Italy)
30,United States
31,Hampstead (N.H.)
31,Hampstead (N.H.)
32,West (U.S.)
33,New York (N.Y.)
34,Mississippi River
35,Illinois
36,Transvaal (South Africa)
36,South Africa
37,Alaska
37,Klondike River Valley (Yukon)
38,United States
38,United States
38,United States
38,Milton (Mass.)
38,Naushon Island (Mass.)
39,Durham (England : County)
40,United States
40,United States
41,United States
42,Virginia
43,United States
44,Bermuda Islands
45,Europe
45,Italy
46,Concord (N.H.)
46,United States
47,New Orleans (La.)
48,United States
49,Rome
50,Transvaal (South Africa)
51,Transvaal (South Africa)
52,South Africa
52,Transvaal (South Africa)
53,United States
54,Athens (Greece)
55,Alaska
55,Yukon
56,South Africa
57,Philippines
57,Utah
58,New York (N.Y.)
59,United States
60,United States
61,Salem (Mass.)
62,Connecticut
62,New Haven (Conn.)
63,United States
63,United States
63,Southern States
64,United States
65,Europe
66,Transvaal (South Africa)
67,Iowa
68,Great Britain
69,Northampton (Mass.)
70,New Haven (Conn.)
71,Transvaal (South Africa)
72,Klondike River Valley (Yukon)
73,Rome
74,United States
74,Indiana
75,New York (N.Y.)
76,France
77,Padua (Italy)
78,Philippines
79,South Africa
80,United States
80,United States
81,Transvaal (South Africa)
82,Canada
83,Kent (England)
84,Texas
84,Texas
85,South Africa
85,South Africa
85,Transvaal (South Africa)
86,Wales
87,United States
87,United States
88,Southern States
89,England
90,United States
91,Paris (France)
92,Mississippi River Valley
92,"Southwest, Old"
92,United States
93,Philippines
94,West (U.S.)
95,United States
96,Missouri
97,United States
98,United States
99,Rome
100,"West End (London, England)"
101,United States
101,United States
102,Hawaii
103,Japan
103,Japan
104,England
105,United States
106,Kansas
107,Great Britain
108,Rome
109,India
110,Scotland
111,Venice (Italy)
112,Wisconsin
113,Madison (Wis.)
114,United States
115,Mexico
116,Colorado
116,Kansas City (Mo.)
117,Paris (France)
118,Westmoreland County (Pa.)
118,Pennsylvania
118,Ohio River Valley
119,English-speaking countries
120,Hungary
121,England
122,Philadelphia (Pa.)
122,"Fairmount Park (Philadelphia, Pa.)"
123,England
124,France
125,Zimbabwe
126,Poland
127,Kentucky
128,Kimberley (South Africa)
129,Rome
129,Byzantine Empire
130,Great Britain
131,United States
131,West (U.S.)
131,Missouri River.
131,Columbia River.
132,West Indies
133,United States
133,America
134,Boston (Mass.)
135,China
136,Great Britain
137,United States
137,Poland
138,"Northwest, Pacific"
138,United States
139,Virginia
140,United States
141,Hawaii
142,Kansas City (Mo.)
143,United States
144,North America
144,United States
145,England
146,Brussels (Belgium)
147,United States
147,Great Britain
148,Transvaal (South Africa)
149,United States
149,United States
150,Western Reserve (Ohio)
151,Massachusetts
151,Massachusetts
152,Japan
153,United States
154,United States
155,West (U.S.)
155,Rocky Mountains.
156,Philadelphia (Pa.)
156,Atlantic City (N.J.)
156,Cape May (N.J.)
157,Italy
157,Middle East
158,United States
159,Duxbury (Mass.)
160,United States
160,Great Britain
161,Lynchburg (Va.)
162,United States
163,United States
164,China
164,Japan
164,Korea
165,United States
166,Louisiana
