pubDate,ISOnumeric3,"SUBSTR(r.callNumber,1,1)",COUNT(r.recordID)
40,840,F,4
1087,392,H,1
1096,300,M,1
1098,356,M,1
1099,524,D,1
1099,524,P,1
1100,524,C,1
1100,524,D,3
1101,524,D,2
1101,524,P,1
1102,356,M,1
1104,392,M,1
1104,524,G,1
1104,524,P,2
1105,250,M,1
1105,356,M,1
1106,156,M,1
1107,356,M,1
1108,356,M,1
1108,524,G,1
1108,616,M,1
1111,524,D,2
1111,524,J,1
1112,356,M,1
1112,524,D,1
1112,524,P,1
1113,524,B,1
1114,36,M,1
1115,356,M,1
1117,524,D,1
1118,524,B,1
1118,524,D,1
1120,524,D,2
1121,36,M,1
1121,524,B,1
1121,524,D,1
1123,356,B,1
1123,356,M,2
1123,524,B,1
1124,524,B,2
1126,178,M,1
1126,356,M,1
1127,156,M,2
1127,356,M,1
1127,524,D,1
1131,156,M,8
1134,156,M,3
1149,156,M,1
1165,156,M,1
1179,51,D,2
1189,380,D,1
1190,156,M,4
1192,840,J,1
1195,156,M,1
1199,156,M,1
1213,156,M,2
1217,364,B,1
1227,156,M,2
1229,156,M,3
1250,156,M,1
1254,300,D,1
1258,616,D,1
1258,826,D,1
1260,156,M,8
1261,156,M,3
1262,156,M,2
1264,250,D,1
1266,643,D,1
1267,4,D,1
1276,51,D,1
1276,724,D,1
1276,792,D,1
1279,156,M,9
1279,792,D,4
1280,792,D,1
1281,356,D,1
1281,356,M,1
1282,792,D,2
1284,792,D,1
1286,356,M,2
1288,156,M,3
1291,356,M,1
1293,792,H,3
1294,792,D,3
1296,818,D,1
1298,792,D,2
1299,156,M,1
1299,792,D,1
1301,156,M,1
1301,792,D,2
1302,826,K,1
1303,826,D,1
1305,104,D,1
1305,156,M,1
1307,364,P,1
1307,792,C,1
1308,356,D,2
1308,818,D,1
1308,860,D,1
1310,356,M,1
1310,364,D,1
1311,792,C,1
1312,178,D,1
1312,364,D,1
1312,682,D,1
1313,364,M,1
1314,364,D,1
1315,364,L,2
1316,76,K,2
1316,356,M,1
1316,364,D,2
1316,792,D,1
1316,826,K,2
1317,4,D,1
1317,104,D,1
1317,356,D,1
1317,364,D,3
1317,818,P,1
1317,826,D,1
1317,860,M,1
1318,250,D,1
1318,356,D,1
1318,364,D,5
1318,364,P,1
1318,364,U,2
1318,792,D,1
1319,729,D,1
1319,818,D,1
1320,364,M,1
1320,792,D,1
1321,104,D,1
1321,364,D,3
1322,156,G,1
1322,178,G,1
1322,364,D,2
1322,578,M,1
1322,616,D,1
1322,792,D,1
1322,818,D,4
1323,364,B,1
1323,364,H,1
1324,364,D,4
1324,364,H,2
1324,724,B,1
1324,792,D,1
1325,364,D,3
1325,364,M,1
1325,792,D,7
1325,792,U,2
1325,826,D,1
1326,364,D,2
1326,364,U,2
1326,512,D,1
1326,792,D,4
1327,364,D,8
1327,682,D,1
1327,756,D,1
1327,792,D,10
1327,826,D,3
1328,48,D,1
1328,364,D,4
1328,364,H,1
1328,364,M,1
1328,792,D,9
1328,792,N,2
1328,826,D,2
1328,840,E,1
1329,104,D,1
1329,364,D,2
1329,364,H,1
1329,364,P,3
1329,408,M,1
1329,724,D,2
1329,760,D,1
1329,792,D,3
1329,840,E,1
1330,364,D,4
1330,364,M,1
1330,616,D,1
1330,792,D,2
1330,826,A,1
1330,826,D,1
1330,840,D,1
1331,356,M,1
1331,364,D,4
1331,364,M,1
1331,368,P,1
1331,616,D,1
1331,792,D,2
1331,826,D,1
1332,356,M,1
1332,364,D,2
1332,792,D,7
1332,818,D,1
1333,364,D,3
1333,364,J,1
1333,364,K,1
1333,724,B,1
1333,724,P,1
1333,792,M,2
1334,156,M,1
1334,364,D,4
1334,364,J,1
1334,364,M,1
1334,364,P,1
1334,643,N,1
1334,860,D,3
1335,156,M,3
1335,356,D,2
1335,364,A,1
1335,364,D,2
1335,364,G,2
1335,364,M,1
1335,616,D,1
1335,682,D,1
1335,792,D,1
1336,4,D,1
1336,364,D,4
1336,364,M,1
1336,616,D,1
1336,792,D,1
1336,826,D,1
1337,356,D,1
1337,364,D,1
1337,364,H,3
1337,364,P,2
1337,840,E,1
1338,364,D,7
1338,364,H,3
1338,364,P,1
1338,616,D,1
1338,682,D,1
1338,724,D,1
1338,792,D,1
1338,826,D,1
1339,356,M,1
1339,364,D,3
1339,364,H,3
1339,364,M,1
1339,364,P,1
1339,724,D,1
1339,792,D,1
1339,826,M,1
1339,840,E,2
1339,840,P,2
1340,364,B,1
1340,364,D,3
1340,364,H,7
1340,364,M,2
1340,724,D,1
1340,792,D,2
1340,840,E,1
1340,840,F,1
1341,156,M,2
1341,364,B,1
