ISOnumeric3,countryName,pubDate,count
8,Albania,2013,5
152,Chile,2013,4
156,China,2013,233
682,Saudi Arabia,2013,35
716,Zimbabwe,2013,2
840,United States of America,2013,1564
8,Albania,2012,36
152,Chile,2012,20
156,China,2012,1422
682,Saudi Arabia,2012,147
716,Zimbabwe,2012,14
840,United States of America,2012,6235
8,Albania,2011,81
152,Chile,2011,61
156,China,2011,3986
682,Saudi Arabia,2011,237
716,Zimbabwe,2011,49
840,United States of America,2011,9025
8,Albania,2008,124
152,Chile,2008,98
156,China,2008,3849
682,Saudi Arabia,2008,305
716,Zimbabwe,2008,42
840,United States of America,2008,11240
