year,recordCount
40,2
1087,1
1096,1
1098,1
1099,2
1100,3
1101,2
1102,1
1104,3
1105,2
1106,1
1107,1
1108,3
1111,3
1112,3
1113,1
1114,1
1115,1
1117,1
1118,2
1120,2
1121,3
1123,4
1124,2
1126,2
1127,4
1131,8
1134,1
1149,1
1165,1
1179,1
1189,1
1190,3
1192,1
1195,1
1199,1
1213,1
1217,1
1227,1
1229,2
1250,1
1254,1
1258,2
1260,7
1261,1
1262,1
1264,1
1266,1
1267,1
1276,3
1279,10
1280,1
1281,2
1282,1
1284,1
1286,1
1288,1
1291,1
1293,1
1294,1
1296,1
1298,1
1299,2
1301,2
1302,1
1303,1
1305,2
1307,2
1308,3
1310,2
1311,1
1312,3
1313,1
1314,1
1315,1
1316,5
1317,8
1318,8
1319,2
1320,2
1321,3
1322,7
1323,2
1324,7
1325,12
1326,8
1327,18
1328,14
1329,13
1330,10
1331,9
1332,8
1333,7
1334,10
1335,12
1336,8
1337,6
1338,15
1339,13
1340,15
1341,18
1342,16
1343,9
1344,7
1345,9
1346,16
1347,12
1348,13
1349,17
1350,12
1351,17
1352,9
1353,8
1354,11
1355,4
1356,8
1357,22
1358,28
1359,26
1360,30
1361,45
1362,81
1363,105
1364,56
1365,40
1366,62
1367,54
1368,104
1369,98
1370,88
1371,78
1372,78
1373,81
1374,107
1375,107
1376,97
1377,143
1378,231
1379,231
1380,209
1381,237
1382,200
1383,243
1384,237
1385,232
1386,273
1387,271
1388,245
1389,135
1390,124
1391,14
1392,8
1393,3
1394,12
1395,7
1396,7
1397,7
1398,7
1399,10
1400,8
1401,4
1402,18
1403,17
1404,15
1405,15
1406,11
1407,7
1408,6
1409,4
1410,6
1411,5
1412,1
1413,5
1414,7
1415,5
1416,7
1417,12
1418,11
1419,20
1420,12
1421,15
1422,13
1423,11
1424,17
1425,7
1426,10
1427,12
1428,10
1429,6
1430,18
1431,10
1432,2
1457,1
1464,2
1474,3
1475,4
1477,2
1480,2
1481,1
1482,2
1483,1
1485,3
1486,3
1487,2
1488,3
1489,1
1490,4
1491,3
1492,2
1493,4
1494,7
1495,4
1496,5
1497,3
1498,7
1499,7
1500,10
1501,1
1502,2
1503,4
1504,3
1505,4
1506,2
1507,3
1508,2
1509,5
1510,2
1511,2
1512,4
1513,4
1514,3
1515,5
1516,2
1517,3
1518,3
1519,2
1520,4
1521,5
1522,3
1523,10
1524,9
1525,8
1526,5
1527,7
1528,5
1529,17
1530,9
1531,6
1532,7
1533,9
1534,10
1535,9
1536,14
1537,11
1538,6
