recordID,subjectLocation,subjectLocationRefined
1,Kansas,Kansas
2,Cambridge (Mass.),Cambridge (Mass.)
3,Poughkeepsie (N.Y.),Poughkeepsie (N.Y.)
4,New England,New England
5,United States,United States
6,China,China
6,Tibet Autonomous Region (China),Tibet Autonomous Region (China)
7,United States,United States
7,United States,United States
8,Baltimore (Md.),Baltimore (Md.)
9,United States,United States
10,England,England
11,France,France
12,Transvaal (South Africa),Transvaal (South Africa)
13,United States,United States
14,United States,United States
15,Philippines,Philippines
16,United States,United States
17,Philippines,Philippines
18,Naples (Kingdom),Naples (Kingdom)
19,South Africa,South Africa
19,Transvaal (South Africa),Transvaal (South Africa)
19,Great Britain,Great Britain
19,Europe,Europe
20,Europe,Europe
21,Europe,Europe
21,Great Britain,Great Britain
22,United States,United States
23,Pennsylvania,Pennsylvania
24,Paris (France),Paris (France)
24,Paris (France),Paris (France)
25,United States,United States
25,United States,United States
26,Paris (France),Paris (France)
27,West Virginia,West Virginia
28,Germany,Germany
29,Tuscany (Italy),Tuscany (Italy)
30,United States,United States
31,Hampstead (N.H.),Hampstead (N.H.)
31,Hampstead (N.H.),Hampstead (N.H.)
32,West (U.S.),West (U.S.)
33,New York (N.Y.),New York (N.Y.)
34,Mississippi River,Mississippi River
35,Illinois,Illinois
36,Transvaal (South Africa),Transvaal (South Africa)
36,South Africa,South Africa
37,Alaska,Alaska
37,Klondike River Valley (Yukon),Klondike River Valley (Yukon)
38,United States,United States
38,United States,United States
38,United States,United States
38,Milton (Mass.),Milton (Mass.)
38,Naushon Island (Mass.),Naushon Island (Mass.)
39,Durham (England : County),Durham (England : County)
40,United States,United States
40,United States,United States
41,United States,United States
42,Virginia,Virginia
43,United States,United States
44,Bermuda Islands,Bermuda Islands
45,Europe,Europe
45,Italy,Italy
46,Concord (N.H.),Concord (N.H.)
46,United States,United States
47,New Orleans (La.),New Orleans (La.)
48,United States,United States
49,Rome,Rome
50,Transvaal (South Africa),Transvaal (South Africa)
51,Transvaal (South Africa),Transvaal (South Africa)
52,South Africa,South Africa
52,Transvaal (South Africa),Transvaal (South Africa)
53,United States,United States
54,Athens (Greece),Athens (Greece)
55,Alaska,Alaska
55,Yukon,Yukon
56,South Africa,South Africa
57,Philippines,Philippines
57,Utah,Utah
58,New York (N.Y.),New York (N.Y.)
59,United States,United States
60,United States,United States
61,Salem (Mass.),Salem (Mass.)
62,Connecticut,Connecticut
62,New Haven (Conn.),New Haven (Conn.)
63,United States,United States
63,United States,United States
63,Southern States,Southern States
64,United States,United States
65,Europe,Europe
66,Transvaal (South Africa),Transvaal (South Africa)
67,Iowa,Iowa
68,Great Britain,Great Britain
69,Northampton (Mass.),Northampton (Mass.)
70,New Haven (Conn.),New Haven (Conn.)
71,Transvaal (South Africa),Transvaal (South Africa)
72,Klondike River Valley (Yukon),Klondike River Valley (Yukon)
73,Rome,Rome
74,United States,United States
74,Indiana,Indiana
75,New York (N.Y.),New York (N.Y.)
76,France,France
77,Padua (Italy),Padua (Italy)
78,Philippines,Philippines
79,South Africa,South Africa
80,United States,United States
80,United States,United States
81,Transvaal (South Africa),Transvaal (South Africa)
82,Canada,Canada
83,Kent (England),Kent (England)
84,Texas,Texas
84,Texas,Texas
85,South Africa,South Africa
85,South Africa,South Africa
85,Transvaal (South Africa),Transvaal (South Africa)
86,Wales,Wales
87,United States,United States
87,United States,United States
88,Southern States,Southern States
89,England,England
90,United States,United States
91,Paris (France),Paris (France)
92,Mississippi River Valley,Mississippi River Valley
92,"Southwest, Old","Southwest, Old"
92,United States,United States
93,Philippines,Philippines
94,West (U.S.),West (U.S.)
95,United States,United States
96,Missouri,Missouri
97,United States,United States
98,United States,United States
99,Rome,Rome
100,"West End (London, England)","West End (London, England)"
101,United States,United States
101,United States,United States
102,Hawaii,Hawaii
103,Japan,Japan
103,Japan,Japan
104,England,England
105,United States,United States
106,Kansas,Kansas
107,Great Britain,Great Britain
108,Rome,Rome
109,India,India
110,Scotland,Scotland
111,Venice (Italy),Venice (Italy)
112,Wisconsin,Wisconsin
113,Madison (Wis.),Madison (Wis.)
114,United States,United States
115,Mexico,Mexico
116,Colorado,Colorado
116,Kansas City (Mo.),Kansas City (Mo.)
117,Paris (France),Paris (France)
118,Westmoreland County (Pa.),Westmoreland County (Pa.)
118,Pennsylvania,Pennsylvania
118,Ohio River Valley,Ohio River Valley
119,English-speaking countries,English-speaking countries
120,Hungary,Hungary
121,England,England
122,Philadelphia (Pa.),Philadelphia (Pa.)
122,"Fairmount Park (Philadelphia, Pa.)","Fairmount Park (Philadelphia, Pa.)"
123,England,England
124,France,France
125,Zimbabwe,Zimbabwe
126,Poland,Poland
127,Kentucky,Kentucky
128,Kimberley (South Africa),Kimberley (South Africa)
129,Rome,Rome
129,Byzantine Empire,Byzantine Empire
130,Great Britain,Great Britain
131,United States,United States
131,West (U.S.),West (U.S.)
131,Missouri River.,Missouri River
131,Columbia River.,Columbia River
132,West Indies,West Indies
133,United States,United States
133,America,America
134,Boston (Mass.),Boston (Mass.)
135,China,China
136,Great Britain,Great Britain
137,United States,United States
137,Poland,Poland
138,"Northwest, Pacific","Northwest, Pacific"
138,United States,United States
139,Virginia,Virginia
140,United States,United States
141,Hawaii,Hawaii
142,Kansas City (Mo.),Kansas City (Mo.)
143,United States,United States
144,North America,North America
144,United States,United States
145,England,England
146,Brussels (Belgium),Brussels (Belgium)
147,United States,United States
147,Great Britain,Great Britain
148,Transvaal (South Africa),Transvaal (South Africa)
149,United States,United States
149,United States,United States
150,Western Reserve (Ohio),Western Reserve (Ohio)
151,Massachusetts,Massachusetts
151,Massachusetts,Massachusetts
152,Japan,Japan
153,United States,United States
154,United States,United States
155,West (U.S.),West (U.S.)
155,Rocky Mountains.,Rocky Mountains
156,Philadelphia (Pa.),Philadelphia (Pa.)
156,Atlantic City (N.J.),Atlantic City (N.J.)
156,Cape May (N.J.),Cape May (N.J.)
157,Italy,Italy
157,Middle East,Middle East
158,United States,United States
159,Duxbury (Mass.),Duxbury (Mass.)
160,United States,United States
160,Great Britain,Great Britain
161,Lynchburg (Va.),Lynchburg (Va.)
162,United States,United States
163,United States,United States
164,China,China
164,Japan,Japan
164,Korea,Korea
165,United States,United States
166,Louisiana,Louisiana
167,Earth (Planet),Earth (Planet)
167,Solar system,Solar system
168,Concord River (Mass.),Concord River (Mass.)
168,Merrimack River (N.H. and Mass.),Merrimack River (N.H. and Mass.)
169,Missouri,Missouri
169,Missouri,Missouri
169,Missouri,Missouri
169,United States,United States
170,"Africa, North","Africa, North"
171,Rome,Rome
172,Huntington (Conn.),Huntington (Conn.)
172,Connecticut,Connecticut
173,United States,United States
173,United States,United States
174,Earth (Planet),Earth (Planet)
175,Great Salt Lake (Utah),Great Salt Lake (Utah)
176,Transvaal (South Africa),Transvaal (South Africa)
176,Transvaal (South Africa),Transvaal (South Africa)
176,Great Britain,Great Britain
177,Iran,Iran
177,Iran,Iran
178,United States,United States
179,Prussia (Germany),Prussia (Germany)
180,Rome (Italy),Rome (Italy)
181,West (U.S.),West (U.S.)
182,Utah,Utah
183,Plymouth (Mass.),Plymouth (Mass.)
184,Germany,Germany
185,United States,United States
186,United States,United States
186,New York (State),New York (State)
187,New England,New England
188,New England,New England
189,Great Britain,Great Britain
190,Washington County (Va.),Washington County (Va.)
191,Boston (Mass.),Boston (Mass.)
192,Atlantic County (N.J.),Atlantic County (N.J.)
192,Atlantic City (N.J.),Atlantic City (N.J.)
192,Atlantic City (N.J.),Atlantic City (N.J.)
192,Atlantic County (N.J.),Atlantic County (N.J.)
193,Rome,Rome
194,China,China
194,China,China
195,Spanish Main.,Spanish Main.
195,Central America,Central America
